theta1,theta2,vel1,vel2,acc1,acc2
1.5707963267948966, 0.0, -0.001, 6.123233995736766e-20, -1.0, 6.123233995736766e-17
1.5707953267948966, 6.123233995736766e-23, -0.002, 1.0000000001224646e-09, -1.0, 1.0000000000612324e-06
1.5707933267948966, 1.0000000001836969e-12, -0.003000000000002, 6.000000000101263e-09, -1.000000000002, 4.999999999978798e-06
1.5707903267948966, 7.0000000002849606e-12, -0.0040000000000155, 1.8000000000145242e-08, -1.0000000000135, 1.2000000000043978e-05
1.5707863267948965, 2.5000000000430203e-11, -0.0050000000000635005, 4.0000000000244965e-08, -1.0000000000480003, 2.200000000009972e-05
1.5707813267948965, 6.500000000067517e-11, -0.006000000000188502, 7.500000000084005e-08, -1.0000000001250011, 3.500000000059509e-05
1.5707753267948963, 1.4000000000151522e-10, -0.007000000000458507, 1.2600000000269911e-07, -1.0000000002700047, 5.100000000185907e-05
1.5707683267948958, 2.6600000000421434e-10, -0.00800000000097302, 1.960000000079069e-07, -1.0000000005145129, 7.00000000052078e-05
1.5707603267948949, 4.6200000001212125e-10, -0.009000000001869053, 2.880000000206835e-07, -1.0000000008960317, 9.200000001277659e-05
1.570751326794893, 7.500000000328048e-10, -0.010000000003327122, 4.0500000004831453e-07, -1.0000000014580686, 0.000117000000027631
1.5707413267948895, 1.1550000000811194e-09, -0.011000000005577259, 5.500000001033599e-07, -1.0000000022501365, 0.00014500000005504532
1.570730326794884, 1.7050000001844793e-09, -0.012000000008905012, 7.260000002054216e-07, -1.000000003327753, 0.00017600000010206172
1.570718326794875, 2.431000000389901e-09, -0.013000000013657455, 9.360000003838605e-07, -1.0000000047524427, 0.00021000000017843892
1.5707053267948614, 3.3670000007737618e-09, -0.014000000020249193, 1.1830000006815186e-06, -1.0000000065917383, 0.00024700000029765804
1.5706913267948412, 4.5500000014552806e-09, -0.015000000029168375, 1.4700000011581722e-06, -1.0000000089191827, 0.0002870000004766535
